 &SRS
 SRSRUN=14763,SRSDAT=201364,SRSTIM=03110,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gonx	i_pin	Time
-1.3281	-0.00061183	  0.00
-1.3261	-0.00065396	  0.00
-1.3240	-0.00068693	  0.00
-1.3220	-0.00066190	  0.00
-1.3200	-0.00061000	  0.00
-1.3181	-0.00066434	  0.00
-1.3161	-0.00063320	  0.00
-1.3141	-0.00060267	  0.00
-1.3120	-0.00065640	  0.00
-1.3100	-0.00066251	  0.00
-1.3080	-0.00072540	  0.00
-1.3058	-0.00070037	  0.00
-1.3040	-0.00062221	  0.00
-1.3020	-0.00066251	  0.00
-1.3000	-0.00071380	  0.00
-1.2981	-0.00065152	  0.00
-1.2961	-0.00067411	  0.00
-1.2940	-0.00065457	  0.00
-1.2921	-0.00061611	  0.00
-1.2900	-0.00068877	  0.00
-1.2879	-0.00057824	  0.00
-1.2859	-0.00065030	  0.00
-1.2840	-0.00066617	  0.00
-1.2820	-0.00071991	  0.00
-1.2800	-0.00067716	  0.00
-1.2780	-0.00066434	  0.00
-1.2761	-0.00065701	  0.00
-1.2740	-0.00077242	  0.00
-1.2720	-0.00065091	  0.00
-1.2700	-0.00062771	  0.00
-1.2681	-0.00075654	  0.00
-1.2661	-0.00069304	  0.00
-1.2640	-0.00072235	  0.00
-1.2620	-0.00073700	  0.00
-1.2601	-0.00071808	  0.00
-1.2581	-0.00076875	  0.00
-1.2561	-0.00072601	  0.00
-1.2541	-0.00072052	  0.00
-1.2520	-0.00071747	  0.00
-1.2500	-0.00073884	  0.00
-1.2480	-0.00068144	  0.00
-1.2460	-0.00069121	  0.00
-1.2440	-0.00066861	  0.00
-1.2420	-0.00070342	  0.00
-1.2401	-0.00073151	  0.00
-1.2381	-0.00067594	  0.00
-1.2360	-0.00077547	  0.00
-1.2341	-0.00075349	  0.00
-1.2320	-0.00065274	  0.00
-1.2300	-0.00068327	  0.00
-1.2280	-0.00067961	  0.00
-1.2261	-0.00065945	  0.00
-1.2241	-0.00073456	  0.00
-1.2221	-0.00066251	  0.00
-1.2200	-0.00066617	  0.00
-1.2179	-0.00065091	  0.00
-1.2161	-0.00072235	  0.00
-1.2140	-0.00071014	  0.00
-1.2119	-0.00068571	  0.00
-1.2100	-0.00072846	  0.00
-1.2080	-0.00068754	  0.00
-1.2061	-0.00069732	  0.00
-1.2039	-0.00069548	  0.00
-1.2020	-0.00064419	  0.00
-1.2000	-0.00071197	  0.00
-1.1981	-0.00061549	  0.00
-1.1961	-0.00076509	  0.00
-1.1940	-0.00065335	  0.00
-1.1920	-0.00068755	  0.00
-1.1899	-0.00069609	  0.00
-1.1880	-0.00064480	  0.00
-1.1859	-0.00063381	  0.00
-1.1840	-0.00061305	  0.00
-1.1821	-0.00062771	  0.00
-1.1799	-0.00065152	  0.00
