 &SRS
 SRSRUN=14763,SRSDAT=201364,SRSTIM=03110,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gonx	i_pin	Time
-0.073900	1.3524	  0.00
-0.072000	1.3517	  0.00
-0.070000	1.3518	  0.00
-0.068000	1.3521	  0.00
-0.066200	1.3524	  0.00
-0.064000	1.3527	  0.00
-0.062000	1.3522	  0.00
-0.060000	1.3522	  0.00
-0.058000	1.3521	  0.00
-0.056100	1.3525	  0.00
-0.054000	1.3521	  0.00
-0.052000	1.3523	  0.00
-0.050000	1.3521	  0.00
-0.048000	1.3516	  0.00
-0.045900	1.3519	  0.00
-0.044000	1.3522	  0.00
-0.042000	1.3517	  0.00
-0.040000	1.3523	  0.00
-0.037900	1.3522	  0.00
-0.036100	1.3523	  0.00
-0.033900	1.3521	  0.00
-0.032000	1.3519	  0.00
-0.030000	1.3518	  0.00
-0.028000	1.3515	  0.00
-0.025900	1.3518	  0.00
-0.024000	1.3518	  0.00
-0.022100	1.3524	  0.00
-0.020000	1.3517	  0.00
-0.018100	1.3518	  0.00
-0.016000	1.3514	  0.00
-0.013900	1.3521	  0.00
-0.012000	1.3521	  0.00
-0.010100	1.3521	  0.00
-0.0080000	1.3520	  0.00
-0.0060000	1.3517	  0.00
-0.0040000	1.3517	  0.00
-0.0020000	1.3517	  0.00
-0.00010000	1.3519	  0.00
