site_id,longitude,latitude,State,County,fraction_of_usable_area,power_curve,capacity,wind_speed,capacity_factor,full_timeseries_directory,full_timeseries_path
66,-97.566833,25.383957,Unknown,Unknown,1,offshore,16,7.9,0.346,0,0/66.nc
67,-97.547363,25.3843,Unknown,Unknown,1,offshore,16,8.02,0.358,0,0/67.nc
68,-97.527893,25.384628,Unknown,Unknown,1,offshore,16,8.04,0.36,0,0/68.nc
69,-97.508423,25.384964,Unknown,Unknown,1,offshore,16,8.08,0.364,0,0/69.nc
70,-97.488983,25.385292,Unknown,Unknown,1,offshore,16,8.08,0.364,0,0/70.nc
71,-97.528259,25.402222,Unknown,Unknown,1,offshore,16,8.05,0.361,0,0/71.nc
72,-97.508789,25.402557,Unknown,Unknown,1,offshore,16,8.08,0.365,0,0/72.nc
73,-97.489349,25.402885,Unknown,Unknown,1,offshore,16,8.07,0.364,0,0/73.nc
74,-97.469879,25.403206,Unknown,Unknown,1,offshore,16,8.05,0.361,0,0/74.nc
75,-97.528625,25.419792,Unknown,Unknown,1,offshore,16,8.03,0.36,0,0/75.nc
76,-97.509186,25.42012,Unknown,Unknown,1,offshore,16,8.05,0.363,0,0/76.nc
77,-97.489716,25.420448,Unknown,Unknown,1,offshore,16,8.01,0.359,0,0/77.nc
78,-97.470245,25.420792,Unknown,Unknown,1,offshore,16,7.96,0.352,0,0/78.nc
79,-97.567963,25.436699,Unknown,Unknown,1,offshore,16,7.87,0.345,0,0/79.nc
80,-97.548492,25.43705,Unknown,Unknown,1,offshore,16,7.99,0.358,0,0/80.nc
81,-97.529022,25.437378,Unknown,Unknown,1,offshore,16,8.04,0.362,0,0/81.nc
82,-97.509552,25.437714,Unknown,Unknown,1,offshore,16,8.03,0.361,0,0/82.nc
83,-97.490051,25.438034,Unknown,Unknown,1,offshore,16,7.95,0.352,0,0/83.nc
84,-97.568359,25.454285,Unknown,Unknown,1,offshore,16,7.87,0.345,0,0/84.nc
85,-97.548859,25.454628,Unknown,Unknown,1,offshore,16,7.98,0.358,0,0/85.nc
86,-97.529388,25.454979,Unknown,Unknown,1,offshore,16,8.01,0.359,0,0/86.nc
87,-97.509918,25.455299,Unknown,Unknown,1,offshore,16,7.95,0.352,0,0/87.nc
88,-97.490417,25.455635,Unknown,Unknown,1,offshore,16,7.83,0.339,0,0/88.nc
89,-97.529755,25.472557,Unknown,Unknown,1,offshore,16,7.93,0.351,0,0/89.nc
90,-97.237793,25.494713,Unknown,Unknown,1,offshore,16,8.11,0.364,0,0/90.nc
91,-97.218323,25.49498,Unknown,Unknown,1,offshore,16,8.14,0.366,0,0/91.nc
92,-97.198822,25.495239,Unknown,Unknown,1,offshore,16,8.16,0.368,0,0/92.nc
93,-97.179321,25.495514,Unknown,Unknown,1,offshore,16,8.17,0.369,0,0/93.nc
94,-97.159851,25.495766,Unknown,Unknown,1,offshore,16,8.18,0.37,0,0/94.nc
95,-97.238098,25.512306,Unknown,Unknown,1,offshore,16,8.1,0.363,0,0/95.nc
96,-97.218597,25.512573,Unknown,Unknown,1,offshore,16,8.13,0.366,0,0/96.nc
97,-97.199097,25.51284,Unknown,Unknown,1,offshore,16,8.16,0.368,0,0/97.nc
98,-97.179626,25.5131,Unknown,Unknown,1,offshore,16,8.17,0.369,0,0/98.nc
99,-97.160126,25.513351,Unknown,Unknown,1,offshore,16,8.18,0.37,0,0/99.nc
100,-81.941071,24.396194,Unknown,Unknown,1,offshore,16,6.78,0.257,0,0/100.nc
101,-97.238403,25.529892,Unknown,Unknown,1,offshore,16,8.08,0.361,0,0/101.nc
102,-97.218903,25.530167,Unknown,Unknown,1,offshore,16,8.13,0.365,0,0/102.nc
103,-97.199402,25.530434,Unknown,Unknown,1,offshore,16,8.15,0.367,0,0/103.nc
104,-97.179901,25.530693,Unknown,Unknown,1,offshore,16,8.17,0.369,0,0/104.nc
105,-97.1604,25.530952,Unknown,Unknown,1,offshore,16,8.18,0.37,0,0/105.nc
106,-97.238708,25.547493,Unknown,Unknown,1,offshore,16,8.08,0.361,0,0/106.nc
107,-97.219208,25.54776,Unknown,Unknown,1,offshore,16,8.12,0.364,0,0/107.nc
108,-97.199707,25.548027,Unknown,Unknown,1,offshore,16,8.15,0.367,0,0/108.nc
109,-97.180176,25.548294,Unknown,Unknown,1,offshore,16,8.16,0.368,0,0/109.nc
110,-97.160706,25.548546,Unknown,Unknown,1,offshore,16,8.18,0.37,0,0/110.nc
111,-97.239014,25.565094,Unknown,Unknown,1,offshore,16,8.08,0.36,0,0/111.nc
112,-97.219482,25.565369,Unknown,Unknown,1,offshore,16,8.1,0.363,0,0/112.nc
113,-97.199982,25.565628,Unknown,Unknown,1,offshore,16,8.14,0.367,0,0/113.nc
114,-97.180481,25.565887,Unknown,Unknown,1,offshore,16,8.16,0.368,0,0/114.nc
115,-97.16098,25.566147,Unknown,Unknown,1,offshore,16,8.18,0.369,0,0/115.nc
116,-81.889801,24.458946,Unknown,Unknown,1,offshore,16,6.73,0.253,0,0/116.nc
117,-82.869385,24.647507,Unknown,Unknown,1,offshore,16,6.69,0.247,0,0/117.nc
118,-82.764862,24.684959,Unknown,Unknown,1,offshore,16,6.65,0.244,0,0/118.nc
119,-81.812744,24.553055,Unknown,Unknown,1,offshore,16,6.54,0.231,0,0/119.nc
120,-81.392975,24.501427,Unknown,Unknown,1,offshore,16,6.72,0.252,0,0/120.nc
121,-97.007599,25.761757,Unknown,Unknown,1,offshore,16,8.2,0.371,0,0/121.nc
122,-96.988037,25.761971,Unknown,Unknown,1,offshore,16,8.19,0.371,0,0/122.nc
123,-96.948914,25.76239,Unknown,Unknown,1,offshore,16,8.17,0.369,0,0/123.nc
124,-97.007843,25.779358,Unknown,Unknown,1,offshore,16,8.2,0.372,0,0/124.nc
125,-96.988281,25.779587,Unknown,Unknown,1,offshore,16,8.19,0.371,0,0/125.nc
126,-97.008087,25.796989,Unknown,Unknown,1,offshore,16,8.21,0.372,0,0/126.nc
127,-96.988525,25.797218,Unknown,Unknown,1,offshore,16,8.2,0.371,0,0/127.nc
128,-96.968933,25.797424,Unknown,Unknown,1,offshore,16,8.19,0.371,0,0/128.nc
129,-82.476166,24.765106,Unknown,Unknown,1,offshore,16,6.53,0.236,0,0/129.nc
130,-82.457153,24.762146,Unknown,Unknown,1,offshore,16,6.53,0.236,0,0/130.nc
131,-82.43811,24.759201,Unknown,Unknown,1,offshore,16,6.53,0.236,0,0/131.nc
132,-82.419098,24.756256,Unknown,Unknown,1,offshore,16,6.53,0.236,0,0/132.nc
133,-97.008331,25.814621,Unknown,Unknown,1,offshore,16,8.21,0.373,0,0/133.nc
134,-96.98877,25.814835,Unknown,Unknown,1,offshore,16,8.2,0.372,0,0/134.nc
135,-96.969177,25.815048,Unknown,Unknown,1,offshore,16,8.19,0.371,0,0/135.nc
136,-93.660828,25.789566,Unknown,Unknown,1,offshore,16,7.34,0.3,0,0/136.nc
137,-82.4729,24.782372,Unknown,Unknown,1,offshore,16,6.51,0.235,0,0/137.nc
138,-82.453888,24.779427,Unknown,Unknown,1,offshore,16,6.51,0.235,0,0/138.nc
139,-82.434875,24.776474,Unknown,Unknown,1,offshore,16,6.51,0.235,0,0/139.nc
140,-82.415833,24.773529,Unknown,Unknown,1,offshore,16,6.51,0.235,0,0/140.nc
141,-82.39682,24.770561,Unknown,Unknown,1,offshore,16,6.51,0.235,0,0/141.nc
142,-96.989014,25.832466,Unknown,Unknown,1,offshore,16,8.2,0.372,0,0/142.nc
143,-96.969421,25.832672,Unknown,Unknown,1,offshore,16,8.19,0.371,0,0/143.nc
144,-82.450623,24.7967,Unknown,Unknown,1,offshore,16,6.5,0.234,0,0/144.nc
145,-82.43161,24.793747,Unknown,Unknown,1,offshore,16,6.5,0.234,0,0/145.nc
146,-82.412598,24.790787,Unknown,Unknown,1,offshore,16,6.5,0.234,0,0/146.nc
147,-82.428345,24.81102,Unknown,Unknown,1,offshore,16,6.48,0.233,0,0/147.nc
148,-81.991028,24.741951,Unknown,Unknown,1,offshore,16,6.5,0.236,0,0/148.nc
149,-81.972015,24.738892,Unknown,Unknown,1,offshore,16,6.5,0.236,0,0/149.nc
150,-81.953033,24.735855,Unknown,Unknown,1,offshore,16,6.5,0.236,0,0/150.nc
151,-81.934021,24.732788,Unknown,Unknown,1,offshore,16,6.5,0.236,0,0/151.nc
152,-81.915039,24.729729,Unknown,Unknown,1,offshore,16,6.51,0.236,0,0/152.nc
153,-81.896057,24.726654,Unknown,Unknown,1,offshore,16,6.51,0.237,0,0/153.nc
154,-81.968658,24.756157,Unknown,Unknown,1,offshore,16,6.49,0.235,0,0/154.nc
155,-81.949646,24.75309,Unknown,Unknown,1,offshore,16,6.49,0.235,0,0/155.nc
156,-81.930664,24.750038,Unknown,Unknown,1,offshore,16,6.49,0.235,0,0/156.nc
157,-81.911682,24.746971,Unknown,Unknown,1,offshore,16,6.5,0.236,0,0/157.nc
158,-81.89267,24.743904,Unknown,Unknown,1,offshore,16,6.5,0.236,0,0/158.nc
159,-81.873688,24.740814,Unknown,Unknown,1,offshore,16,6.5,0.236,0,0/159.nc
160,-81.854706,24.737755,Unknown,Unknown,1,offshore,16,6.51,0.236,0,0/160.nc
161,-81.946289,24.770348,Unknown,Unknown,1,offshore,16,6.48,0.235,0,0/161.nc
162,-81.927307,24.767288,Unknown,Unknown,1,offshore,16,6.48,0.235,0,0/162.nc
163,-81.908295,24.764214,Unknown,Unknown,1,offshore,16,6.49,0.235,0,0/163.nc
164,-81.889282,24.761162,Unknown,Unknown,1,offshore,16,6.49,0.235,0,0/164.nc
165,-81.8703,24.758087,Unknown,Unknown,1,offshore,16,6.49,0.235,0,0/165.nc
166,-81.851318,24.755005,Unknown,Unknown,1,offshore,16,6.5,0.236,0,0/166.nc
167,-81.832306,24.751923,Unknown,Unknown,1,offshore,16,6.5,0.236,0,0/167.nc
168,-81.111786,24.631805,Unknown,Unknown,1,offshore,16,6.66,0.247,0,0/168.nc
169,-97.460358,25.896492,Texas,Cameron,0.0049,2,2,7.46,0.433,0,0/169.nc
170,-81.92392,24.784538,Unknown,Unknown,1,offshore,16,6.47,0.234,0,0/170.nc
171,-81.904907,24.781479,Unknown,Unknown,1,offshore,16,6.47,0.234,0,0/171.nc
